Id,Date,Category,Title,Amount,Description
1,2/12/2025,food,Food,1200,Food pizza party
2,2/15/2024,transportation,Fuel,1000,Fuel 8 ltrs
3,1/1/2025,health,Doctor Visit,1500,Consultation with Dr. Sharma
4,1/2/2025,education,Books,2000,Purchased textbooks for semester
5,1/3/2025,entertainment,Movie Tickets,600,Watched movie at QFX Cinemas
6,1/4/2025,lifestyle,Clothing,2500,Bought winter jacket
7,1/5/2025,saving and investment,Fixed Deposit,5000,Deposited in savings account
8,1/6/2025,housing,Rent,12000,Monthly apartment rent
9,1/7/2025,transportation,Bus Fare,200,Bus ticket to Pokhara
10,1/8/2025,others,Charity,1000,Donation to local NGO
11,1/9/2025,food,Groceries,1800,Weekly grocery shopping
12,1/10/2025,health,Medicines,800,Prescription for flu
13,1/11/2025,education,Online Course,3000,Enrolled in Python course
14,1/12/2025,entertainment,Concert,1200,Attended live music event
15,1/13/2025,lifestyle,Gym Membership,2000,Monthly gym fee
16,1/14/2025,saving and investment,Stocks,4000,Invested in local company
17,1/15/2025,housing,Utilities,1500,Electricity and water bill
18,1/16/2025,transportation,Taxi,500,Taxi to airport
19,1/17/2025,others,Gift,700,Birthday gift for friend
20,1/18/2025,food,Restaurant,900,Dinner at Thakali Bhancha
21,1/19/2025,health,Dental Checkup,1000,Routine dental visit
22,1/20/2025,education,Stationery,400,Notebooks and pens
23,1/21/2025,entertainment,Streaming Subscription,300,Netflix monthly subscription
24,1/22/2025,lifestyle,Shoes,1800,Bought running shoes
25,1/23/2025,saving and investment,Mutual Fund,3000,Invested in mutual fund
26,1/24/2025,housing,Internet Bill,1200,Monthly internet subscription
27,1/25/2025,transportation,Fuel,1100,Fuel for motorbike
28,1/26/2025,others,Repair,600,Phone screen repair
29,1/27/2025,food,Coffee,250,Coffee at Himalayan Java
30,1/28/2025,health,Yoga Classes,1000,Monthly yoga membership
31,1/29/2025,education,Workshop,1500,Attended coding workshop
32,1/30/2025,entertainment,Amusement Park,800,Visit to fun park
33,1/31/2025,lifestyle,Salon,500,Haircut and styling
34,2/1/2025,saving and investment,Savings,2000,Added to emergency fund
35,2/2/2025,housing,Maintenance,700,Plumbing repair
36,2/3/2025,transportation,Public Transport,150,Microbus fare
37,2/4/2025,others,Stationery,300,Office supplies
38,2/5/2025,food,Snacks,200,Evening snacks
39,2/6/2025,health,Health Insurance,2500,Annual premium payment
40,2/7/2025,education,Tutoring,1200,Math tutoring session
41,2/8/2025,entertainment,Game Night,400,Board games purchase
42,2/9/2025,lifestyle,Watch,1500,Bought new wristwatch
43,2/10/2025,saving and investment,Bonds,3500,Government bond investment
44,2/11/2025,housing,Furniture,3000,New chair for home
45,2/12/2025,transportation,Car Maintenance,2000,Oil change and servicing
46,2/13/2025,others,Pet Supplies,600,Food for pet dog
47,2/14/2025,food,Lunch,500,Lunch at local eatery
48,2/15/2025,health,Checkup,900,General health checkup
49,2/16/2025,education,Library Fee,200,Library membership renewal
50,2/17/2025,entertainment,Theater,700,Local theater play
51,2/18/2025,lifestyle,Perfume,1000,Bought new fragrance
52,2/19/2025,saving and investment,Retirement Fund,4000,Added to pension plan
53,2/20/2025,housing,Cleaning Supplies,300,Household cleaning items
54,2/21/2025,transportation,Bicycle Repair,400,Fixed bicycle tire
55,2/22/2025,others,Donation,500,Charity for earthquake relief
56,2/23/2025,food,Dinner,1200,Family dinner at restaurant
57,2/24/2025,health,Physiotherapy,1500,Session for back pain
58,2/25/2025,education,Exam Fee,800,University exam fee
59,2/26/2025,entertainment,Festival,600,Ticket to local festival
